oracle_campaign,rank,enabler_name,status,source_field,source_quote,non_obvious,note
Better Chicken Commitment Europe (2017–2026),5,expert_technical_validation,relied_on,List B — Legal/regulatory landscape,"Source 2 (SCAHAW 2000, Phase 1 exception) establishes that the scientific case for stricter broiler standards predated EU legislative action, providing the evidence base the campaign drew on",no,"Stronger than the oracle's EFSA reference: this is a pre-existing scientific base the campaign DREW ON, i.e. an enabler rather than a later development."
Better Chicken Commitment Europe (2017–2026),6,non_obvious_ally_note,context_only,"Coalition size, type, and presence of non-obvious allies","non-obvious allies include national certification schemes (Haltungsform, Germany) and at least one producer (Norsk Kylling)",yes,NOT SCORED. Retained for the deep dive so the ally detail is not lost.
SeaWorld/Anti-captivity post-Blackfish (2013-2016),1,regulatory_legal_position,relied_on,Legal/regulatory landscape,"California state-level levers available (Coastal Commission authority, contested but ultimately upheld; AB 2140/2305 legislative pathway) and used",no,DIRECTION: state levers enabling and explicitly 'used'. Federal level was NOT an enabler - 'ORCA Act stalled federally in-window'.
SeaWorld/Anti-captivity post-Blackfish (2013-2016),2,coalition,relied_on,"List B — Coalition size, type, and presence of non-obvious allies","IMMP/Palmer names the coalition explicitly (PETA, ALDF, AWI, HSUS, Sierra Club California, Sea Shepherd)",no,List B adds Sierra Club California - a cross-sector environmental ally absent from the oracle cell.
SeaWorld/Anti-captivity post-Blackfish (2013-2016),3,institutional_political_backing,relied_on,"Coalition size, type, and presence of non-obvious allies","corporate partners who defected (Southwest Airlines, Miami Dolphins, Seattle Seahawks)",yes,"RESTORED. Lost when non_obvious_allies stopped being scored. Distinct from the Coastal Commission evidence that was demoted earlier, so this does not double-count. Commercial institutions withdrawing from the target is a real structural support."
SeaWorld/Anti-captivity post-Blackfish (2013-2016),4,financial_resources,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,"No funder named. Campaign leverage came from a film and market/reputational pressure, not campaign finance."
SeaWorld/Anti-captivity post-Blackfish (2013-2016),5,expert_technical_validation,relied_on,"List B — Coalition size, type, and presence of non-obvious allies","the scientist letter signatories (Goodall, Marino, Frohoff, Spong, Cousteau)",no,Full five signatories. The oracle named only two.
SeaWorld/Anti-captivity post-Blackfish (2013-2016),6,non_obvious_ally_note,context_only,"Coalition size, type, and presence of non-obvious allies","genuine non-obvious allies included independent scientists (Goodall, Marino), former industry insiders (ex-SeaWorld trainers including Hargrove), corporate partners who defected (Southwest Airlines, Miami Dolphins, Seattle Seahawks), and musicians and celebrities (Pamela Anderson, Pat Benatar",yes,NOT SCORED. Retained for the deep dive so the ally detail is not lost.
Mexico constitutional animal protection reform (2021-2024),1,regulatory_legal_position,not_relied_on,Legal/regulatory landscape,prior Supreme Court jurisprudence (cited in academic commentary) explicitly held the Constitution contained no mandate for animal protection beyond wildlife under the environmental-rights clause,no,"DIRECTION CHECK - THIS IS THE BLOCKER, NOT AN ENABLER. The previous extraction quoted this as if it supported the reform. The record says the reform 'directly closes that gap'; the prior position was absence of authority."
Mexico constitutional animal protection reform (2021-2024),2,coalition,relied_on,"Coalition size, type, and presence of non-obvious allies","three Mexican NGOs (Igualdad Animal, HSI/Mexico, Movimiento Conciencia) coordinated jointly",no,"Small, national, single-sector coalition."
Mexico constitutional animal protection reform (2021-2024),3,institutional_political_backing,relied_on,"Coalition size, type, and presence of non-obvious allies","passed with support from five distinct parliamentary groups (Morena, PAN, MC, PRD, PT) — a notably non-polarised cross-party coalition for Mexican politics",no,Strongest single enabler in this case. Cross-party legislative backing.
Mexico constitutional animal protection reform (2021-2024),4,financial_resources,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,No funder named.
Mexico constitutional animal protection reform (2021-2024),5,expert_technical_validation,not_relied_on,Legal/regulatory landscape,,no,"No scientific or technical body named as supporting. Academic commentary is cited as describing the legal position, not validating the campaign."
Sinergia Animal Global South cage-free corporate campaign (2018–present),1,regulatory_legal_position,relied_on,Legal/regulatory landscape,Brazil introduced federal pig-welfare guidelines in 2020,no,"CORRECTED. Previously marked absent on the 2045 compliance deadline. List B calls the landscape ""nominally supportive""; a stricter test was applied here than to Better Chicken, where a directive the campaign merely exceeds was scored. BORDERLINE - reverse if you think a 2045 deadline makes this unusable."
Sinergia Animal Global South cage-free corporate campaign (2018–present),2,coalition,relied_on,List B — Coalition size/type/non-obvious allies,#1 explicitly documents membership in the Open Wing Alliance as a structural resource for shared tactics and training,no,"List B frames OWA membership as campaign CAPACITY (tactics, training), not just affiliation."
Sinergia Animal Global South cage-free corporate campaign (2018–present),3,institutional_political_backing,not_relied_on,Legal/regulatory landscape,,no,No government or political backer named in any target country.
Sinergia Animal Global South cage-free corporate campaign (2018–present),4,financial_resources,relied_on,"Coalition size, type, and presence of non-obvious allies",country-specific local lawyer/legal volunteer networks,no,"CORRECTED. Previously marked absent because no funder is named. Volunteer legal capacity IS a material resource and is named in the record. Note this is donated labour, not grant funding - a different kind of resource from a cash grant."
Sinergia Animal Global South cage-free corporate campaign (2018–present),5,expert_technical_validation,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,No scientific or technical validating body named.
Sinergia Animal Global South cage-free corporate campaign (2018–present),6,non_obvious_ally_note,context_only,"Coalition size, type, and presence of non-obvious allies",explicit cross-border engagement with EU trade-policy debates as an unusual non-obvious lever,yes,"REVIEWED, left unscored. Engaging the EU trade-policy debate is a tactic the campaign used, not an institution backing it. No EU body is recorded as supporting them. NOT SCORED. Retained for the deep dive so the ally detail is not lost."
UK live export ban Animal Welfare (Livestock Exports) Act (2017–2024),1,regulatory_legal_position,relied_on,Legal/regulatory landscape,"Post-Brexit, no WTO or domestic legal obstacle blocked the ban, though WTO rules were raised in parliamentary debate as a theoretical risk and assessed as manageable under the public morals exemption. The ban had positive legal grounding: the government's own 2020 consultation, FAWC scientific opinion, and cross-party parliamentary support all confirmed the legal pathway was clear",no,DIRECTION: EU membership was the historic BLOCKER; Brexit removing it is the enabling event. Quote covers the post-removal enabling state.
UK live export ban Animal Welfare (Livestock Exports) Act (2017–2024),2,coalition,relied_on,"Coalition size, type, and presence of non-obvious allies","40+ organisations in the Better Deal for Animals coalition (RSPCA, CIWF, HSI UK, World Horse Welfare, Animal Aid, FOUR PAWS UK, Humane League UK, PETA UK, and others)",no,"REVERTED to the database wording. Locked Source 1 (McCulloch) says ""a coalition of leading UK-based animal protection organisations""; Source 6 (World Animal Protection) says ""over 40 organisations alongside the RSPCA, HSI UK, CIWF and Wildlife and Countryside Link"". Neither mentions 38 Degrees, Avaaz or SumOfUs (0 occurrences in either). List B attributes that claim to Source 5, which is paywalled and could not be checked. NOTE: Source 6 describes the 40+ coalition as the SENTIENCE campaign, not the live export campaign."
UK live export ban Animal Welfare (Livestock Exports) Act (2017–2024),3,institutional_political_backing,relied_on,"Coalition size, type, and presence of non-obvious allies",cross-party parliamentary support was a significant non-obvious structural ally (Conservative manifesto commitment meant government itself became an unlikely ally),yes,OVERLAP: the record files this as a non-obvious ally. It is simultaneously the institutional backing.
UK live export ban Animal Welfare (Livestock Exports) Act (2017–2024),4,financial_resources,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,No funder named.
UK live export ban Animal Welfare (Livestock Exports) Act (2017–2024),5,expert_technical_validation,relied_on,List B — Legal/regulatory landscape,Source 3 (FAWC Opinion 2019) provides the independent scientific mandate underpinning the legal basis for the ban,no,Stronger framing than the oracle's bare mention of FAWC.
New Zealand live export ban (2019–2026),1,regulatory_legal_position,relied_on,Legal/regulatory landscape,the Animal Welfare (Export of Livestock for Slaughter) Regulations 2016 already prohibited slaughter exports; the campaign targeted the remaining breeding/fattening loophole,no,DIRECTION: existing partial regulation is a genuine enabler - the campaign extends an established precedent rather than creating one.
New Zealand live export ban (2019–2026),2,coalition,relied_on,"Coalition size, type, and presence of non-obvious allies","SAFE led the campaign with SPCA as the primary coalition partner; other animal welfare organisations (HUHA, World Animal Protection, Veterinarians for Animal Welfare Aotearoa) participated",no,"Moderate, single-sector. Record: 'no corporate or cross-sector allies identified'."
New Zealand live export ban (2019–2026),3,institutional_political_backing,relied_on,"Coalition size, type, and presence of non-obvious allies",Auckland Council (intervened to prevent Cornwall Park cattle export in 2021),yes,"Local government intervention. Note National and ACT voted against - backing was partial, not consensus."
New Zealand live export ban (2019–2026),4,financial_resources,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,No funder named.
New Zealand live export ban (2019–2026),5,expert_technical_validation,relied_on,"Coalition size, type, and presence of non-obvious allies",former Chief Veterinary Officer Dr John Hellstrom (industry insider turned opponent),yes,OVERLAP: functions as both expert validation and insider defection. Record files him under non-obvious allies.
UK foie gras import ban campaign (2021–present),1,regulatory_legal_position,not_relied_on,Legal/regulatory landscape,"however EU-UK trade negotiations have reintroduced the obstacle, with the EU's food standards alignment rules effectively preventing the UK from banning EU food products on animal welfare grounds without a specific carve-out",no,"DIRECTION: Brexit removed the barrier in principle, but the record states the obstacle was REINTRODUCED and has blocked action. Net position is blocking, not enabling. This campaign is recorded as Lost."
UK foie gras import ban campaign (2021–present),2,coalition,relied_on,"Coalition size, type, and presence of non-obvious allies","Animal Equality UK leads; coalition includes CIWF, PETA UK, FOUR PAWS, Viva!, Humane World for Animals UK",no,"Moderate, single-sector core."
UK foie gras import ban campaign (2021–present),3,institutional_political_backing,relied_on,"Coalition size, type, and presence of non-obvious allies","non-obvious allies include Conservative MPs and CAWF (pressuring their own government), cross-party parliamentary groupings (APPG on Animal Welfare)",no,Parliamentary backing present but did NOT convert - record notes government dropped the pledge. Backing without executive delivery.
UK foie gras import ban campaign (2021–present),4,financial_resources,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,No funder named.
UK foie gras import ban campaign (2021–present),5,expert_technical_validation,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,No scientific or technical body named.
UK foie gras import ban campaign (2021–present),6,non_obvious_ally_note,context_only,"List B — Coalition size, type, and presence of non-obvious allies",Source 9 (Hansard) confirms King Charles royal residence ban (referenced by Watling) and Fortnum & Mason voluntary withdrawal — both non-obvious institutional allies,yes,"REVIEWED, left unscored. King Charles and Fortnum & Mason are institutional allies, but institutional_political_backing is already scored for this campaign on the parliamentary evidence, so adding them would double-count the same slot. NOT SCORED. Retained for the deep dive so the ally detail is not lost."
Australian marriage equality postal survey (2017),1,regulatory_legal_position,relied_on,Legal/regulatory landscape,"the High Court dismissed challenges to the survey's legality (7 September 2017), clearing the path; no constitutional barrier to marriage equality was identified",no,"DIRECTION: enabling. Note the survey was non-binding, so the legal pathway stayed contingent on parliament."
Australian marriage equality postal survey (2017),2,coalition,relied_on,"Coalition size, type, and presence of non-obvious allies",Australian Marriage Equality and Equality Campaign as campaign leads,no,Named campaign vehicles; breadth sits in the non-obvious allies slot.
Australian marriage equality postal survey (2017),3,institutional_political_backing,relied_on,"Coalition size, type, and presence of non-obvious allies","ACT Government and City of Sydney as institutional allies, and a cross-party parliamentary cohort including Coalition members defying their own leadership",no,Sub-national government plus cross-party defection.
Australian marriage equality postal survey (2017),4,financial_resources,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,"No funder named, though corporate backing implies resources the record does not quantify."
Australian marriage equality postal survey (2017),5,expert_technical_validation,not_relied_on,"List B — Coalition size, type, and presence of non-obvious allies",Source 9 (Ecker et al.) documents the institutional coalition including the Australian Psychological Society's formal opposition to the survey,no,"DIRECTION CHECK: the APS opposed the SURVEY MECHANISM, not marriage equality. Not an enabler for the campaign's goal. Recorded as not relied on."
Australian marriage equality postal survey (2017),6,non_obvious_ally_note,context_only,"Coalition size, type, and presence of non-obvious allies","corporate sector (Qantas CEO Alan Joyce, ANZ Bank rainbow ATMs, major corporations publicly backing Yes)",yes,"REVIEWED, left unscored for financial_resources. Qantas and ANZ backed the campaign publicly, but the record does not say they funded it. NOT SCORED. Retained for the deep dive so the ally detail is not lost."
Australian plain packaging tobacco (2010-2012),1,regulatory_legal_position,relied_on,List B — Legal/regulatory landscape,The WHO FCTC Article 11 Guidelines establish that plain packaging was positively recommended under the treaty framework Australia had ratified,no,Stronger than the oracle: a ratified treaty positively recommending the exact measure is a substantial pre-existing legal enabler.
Australian plain packaging tobacco (2010-2012),2,coalition,relied_on,"Coalition size, type, and presence of non-obvious allies","coherent health-sector coalition (Cancer Council, McCabe Centre, academic researchers)",no,"Single-sector. Record: 'no corporate, labour, or cross-sector non-obvious allies identified in locked source'."
Australian plain packaging tobacco (2010-2012),3,institutional_political_backing,relied_on,"Coalition size, type, and presence of non-obvious allies",WHO and FCTC Secretariat as significant non-obvious institutional allies making formal submissions,yes,OVERLAP: the record calls these non-obvious institutional allies - categories 3 and 6 both claim this.
Australian plain packaging tobacco (2010-2012),4,financial_resources,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,No funder named.
Australian plain packaging tobacco (2010-2012),5,expert_technical_validation,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,"The only expert reference ('academic researchers') sits inside the coalition description. Researchers being coalition members is not independent technical validation, so it is scored once under coalition."
#MeToo / workplace harassment norm shift (2017+),1,regulatory_legal_position,relied_on,List B — Legal/regulatory landscape,EEOC already existed as an enforcement body before the campaign (pre-existing structural capacity),no,CHANGED FROM not_relied_on. List B identifies pre-existing enforcement capacity the oracle summary omits. The oracle emphasised only the blocking NDA/arbitration side.
#MeToo / workplace harassment norm shift (2017+),2,coalition,relied_on,"Coalition size, type, and presence of non-obvious allies","Hollywood actors aligned publicly with farmworker women, an unexpected cross-class/cross-industry coalition",yes,OVERLAP: the only coalition evidence in the record is simultaneously the non-obvious ally evidence.
#MeToo / workplace harassment norm shift (2017+),3,institutional_political_backing,not_relied_on,Legal/regulatory landscape,,no,No institutional or political sponsor at campaign emergence. Record notes institutional resistance continuing.
#MeToo / workplace harassment norm shift (2017+),4,financial_resources,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,No funder named. Campaign was decentralised and spontaneous.
#MeToo / workplace harassment norm shift (2017+),5,expert_technical_validation,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,No expert or technical validating body named.
Leaded petrol global phase-out (2002-2021),1,regulatory_legal_position,relied_on,Legal/regulatory landscape,"international framework (WSSD Plan of Implementation, Dakar Declaration) created backing for phase-out targets; no evidence of blocking legislation",no,"DIRECTION: enabling, and unusually so - an international framework pre-dating the campaign push."
Leaded petrol global phase-out (2002-2021),2,coalition,relied_on,"Coalition size, type, and presence of non-obvious allies","alliance spanning UN agencies, national governments (including US, Canada), industry (Shell, fuel/vehicle sector), and NGOs, convened formally as a named Partnership",yes,Broadest coalition in the set: four distinct sectors including the target industry itself.
Leaded petrol global phase-out (2002-2021),3,institutional_political_backing,relied_on,List B — Coalition size/type/non-obvious allies,"The Partnership explicitly combines UN agencies, national governments (US, Canada named), industry (Shell), and NGOs as named co-members, with World Bank co-authoring regional action plans",no,List B adds the World Bank co-authoring regional action plans - absent from the oracle cell.
Leaded petrol global phase-out (2002-2021),4,financial_resources,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,"No funding figure or funder named, though a formal UN-convened Partnership implies resourcing the record does not state."
Leaded petrol global phase-out (2002-2021),5,expert_technical_validation,not_relied_on,Narrative dominance,,no,No named scientific body. Record says PCFV 'needed to actively construct and disseminate the framing via awareness materials and data publication' - it generated its own evidence rather than drawing on external validation.
Rana Plaza / Bangladesh Accord origin (2013-2018),1,regulatory_legal_position,not_relied_on,Legal/regulatory landscape,"no pre-existing binding mechanism for buyer liability; the Accord itself created a novel enforceable legal landscape via arbitration, tested and upheld in 2016–2018 settlements",no,"DIRECTION: the enforceable landscape is an OUTPUT of the campaign, not a precondition. At campaign start the position was 'initially weak'."
Rana Plaza / Bangladesh Accord origin (2013-2018),2,coalition,relied_on,List B — Coalition size/type/non-obvious allies,"Source #4 documents the named petition coalition: Clean Clothes Campaign, IndustriALL Global Union, UNI Global Union, International Labor Rights Forum, Maquila Solidarity Network, United Students Against Sweatshops, and War on Want",no,Seven named organisations. The oracle gave only sector categories.
Rana Plaza / Bangladesh Accord origin (2013-2018),3,institutional_political_backing,relied_on,"Coalition size, type, and presence of non-obvious allies",the ILO as neutral chair,no,"Intergovernmental body in a structural convening role, not merely supportive."
Rana Plaza / Bangladesh Accord origin (2013-2018),4,financial_resources,relied_on,List B — Coalition size/type/non-obvious allies,Source #8 identifies the ICCR's Bangladesh Investor Initiative representing 139 institutional investors with over $3 trillion in collective assets — a non-obvious faith-based and pension-fund ally operating an independent parallel financial-risk pressure track,no,"Scale quantified. Note this is financial LEVERAGE ON THE TARGET, not campaign capacity - see the category-definition problem."
Rana Plaza / Bangladesh Accord origin (2013-2018),5,expert_technical_validation,not_relied_on,Legal/regulatory landscape,,no,No scientific or technical validating body named.
Rana Plaza / Bangladesh Accord origin (2013-2018),6,non_obvious_ally_note,context_only,"Coalition size, type, and presence of non-obvious allies",faith-based/pension-fund investors (ICCR),yes,NOT SCORED. Retained for the deep dive so the ally detail is not lost.
Black Lives Matter — policing reform (2020-present),1,regulatory_legal_position,not_relied_on,Legal/regulatory landscape,"Initially permissive of police discretion (e.g. qualified immunity, weak use-of-force standards), partially tightened in-window at state level, unchanged at federal level",no,"DIRECTION: the starting landscape protected the target. Tightening is an in-window OUTCOME, and only at state level."
Black Lives Matter — policing reform (2020-present),2,coalition,relied_on,"Coalition size, type, and presence of non-obvious allies","a 150+ organisation coalition (M4BL) at the policy-design level, plus mass spontaneous public participation",no,"Largest org count in the set, but record flags durability: 'coalition durability undermined by later internal disputes and financial-governance scrutiny'."
Black Lives Matter — policing reform (2020-present),3,institutional_political_backing,relied_on,List B — Coalition size/type/non-obvious allies,"#1 documents non-obvious institutional allies (school board, parks board, an art museum) independently severing police ties",yes,"RESTORED. Lost when non_obvious_allies stopped being a scored category. These are institutions acting in the campaign direction, which is institutional backing. BLM goes from 1 scored enabler to 2."
Black Lives Matter — policing reform (2020-present),4,financial_resources,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,No funder named as an enabler. Finance appears only negatively - 'financial-governance scrutiny of the most visible vehicle (BLMGNF)'.
Black Lives Matter — policing reform (2020-present),5,expert_technical_validation,not_relied_on,Legal/regulatory landscape,,no,No expert or technical validating body named.
Black Lives Matter — policing reform (2020-present),6,non_obvious_ally_note,context_only,List B — Coalition size/type/non-obvious allies,"#1 documents non-obvious institutional allies (school board, parks board, an art museum) independently severing police ties",yes,NOT SCORED. Retained for the deep dive so the ally detail is not lost.
"UK single-use plastics ban — straws, stirrers, and cotton buds (2018–2020)",1,regulatory_legal_position,relied_on,Legal/regulatory landscape,the microbeads ban (January 2018) had already established UK legislative precedent for banning specific plastic items; DEFRA had clear statutory authority; the ban proceeded via secondary legislation requiring no new primary act; the 25 Year Environment Plan provided overarching policy mandate,no,"DIRECTION: strongly enabling and the clearest example in the set - direct precedent, statutory authority, and no primary legislation needed."
"UK single-use plastics ban — straws, stirrers, and cotton buds (2018–2020)",2,coalition,relied_on,"Coalition size, type, and presence of non-obvious allies","MCS, SAS, Fidra/Cotton Bud Project as core environmental NGOs",no,Small NGO core; the weight sits in the non-obvious allies.
"UK single-use plastics ban — straws, stirrers, and cotton buds (2018–2020)",3,institutional_political_backing,relied_on,"Coalition size, type, and presence of non-obvious allies",UKHospitality (industry body welcoming the consultation),yes,"RESTORED. Lost when non_obvious_allies stopped being scored. Distinct from the DEFRA statutory authority evidence demoted earlier, so no double-count. An industry body from the target sector welcoming the ban is institutional backing."
"UK single-use plastics ban — straws, stirrers, and cotton buds (2018–2020)",4,financial_resources,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,No funder named.
"UK single-use plastics ban — straws, stirrers, and cotton buds (2018–2020)",5,expert_technical_validation,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,"No scientific body named. The Ellen MacArthur Foundation appears as a narrative framing source, not technical validation."
"UK single-use plastics ban — straws, stirrers, and cotton buds (2018–2020)",6,non_obvious_ally_note,context_only,"List B — Coalition size, type, and presence of non-obvious allies","Source 13 (Rapid Transition Alliance) documents 162,000 Treasury consultation responses and corporate signatories to the Plastic Pact (68 companies including Coca-Cola) as the wider coalition",yes,NOT SCORED. Retained for the deep dive so the ally detail is not lost.
Every Australian Counts NDIS campaign (2011–2013),1,regulatory_legal_position,relied_on,Legal/regulatory landscape,"the Productivity Commission's own report explicitly characterised the prior landscape as ""underfunded, unfair, fragmented and inefficient,"" providing the legal/policy starting point that the campaign and subsequent legislation directly addressed",no,"DIRECTION: the prior landscape was inadequate, but a government body diagnosing it publicly is itself the enabler. Distinct from a simple blocker."
Every Australian Counts NDIS campaign (2011–2013),2,coalition,relied_on,List B — Coalition size/type/non-obvious allies,"#11 documents a national rural health peak body (34 member organisations) as a distinct, sector-specific coalition partner",no,List B quantifies NRHA at 34 member organisations.
Every Australian Counts NDIS campaign (2011–2013),3,institutional_political_backing,not_relied_on,Legal/regulatory landscape,,no,"Rests on the same sentence as regulatory_legal_position (Productivity Commission report). The PC report is the policy mandate, scored once under regulatory position."
Every Australian Counts NDIS campaign (2011–2013),4,financial_resources,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,No campaign funder named. PwC supplied modelling in kind - recorded under expert validation.
Every Australian Counts NDIS campaign (2011–2013),5,expert_technical_validation,relied_on,"Coalition size, type, and presence of non-obvious allies",PwC as an unusual non-obvious corporate/professional-services ally providing independent economic modelling,yes,OVERLAP: independent economic modelling is technical validation AND the record's named non-obvious ally.
Australian mandatory detention campaign (1992–present),1,regulatory_legal_position,not_relied_on,Legal/regulatory landscape,the Border Protection (Validation and Enforcement Powers) Act 2001 was enacted retroactively to legalise actions taken against the Tampa; Migration Amendment (Excision from Migration Zone) Act 2001 removed judicial review rights for excised territory arrivals,no,DIRECTION: strongly BLOCKING. Record: landscape 'deliberately designed to close off judicial avenues'. The most hostile legal position in the set.
Australian mandatory detention campaign (1992–present),2,coalition,relied_on,"Coalition size, type, and presence of non-obvious allies","120+ refugee support groups, Refugee Action Collectives in multiple cities, Amnesty International Australia, Human Rights Watch, UNHCR, ASRC (founded 2001), ChilOut, Project SafeCom, faith coalitions",no,"Very large, but record qualifies: 'lacked the central coordination of single-actor campaigns'. Size without coordination."
Australian mandatory detention campaign (1992–present),3,institutional_political_backing,relied_on,"List B — Coalition size, type, and presence of non-obvious allies","Source 9 (HRW) documents international coalition — HRW, UNHCR — as non-obvious allies providing international legitimacy",no,International legitimacy as substitute for absent domestic institutional backing.
Australian mandatory detention campaign (1992–present),4,financial_resources,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,No funder named.
Australian mandatory detention campaign (1992–present),5,expert_technical_validation,relied_on,"Coalition size, type, and presence of non-obvious allies",academic researchers who provided expert testimony,yes,Expert testimony named explicitly.
#EndSARS Nigeria police brutality,1,regulatory_legal_position,not_relied_on,Legal/regulatory landscape,"not a single SARS officer was prosecuted under existing law within the campaign window; oversight bodies lacked independence, funding, and enforcement power",no,"DIRECTION: law existed on paper (Anti-Torture Act 2017) but the record calls the position 'nominally supportive, structurally weak'. Formal rights with no enforcement is not an enabler."
#EndSARS Nigeria police brutality,2,coalition,relied_on,"Coalition size, type, and presence of non-obvious allies","cross-ethnic, cross-religious youth coalition supported by Nigerian tech/fintech sector, Feminist Coalition as organisational backbone, religious leaders, small businesses, Nigerian diaspora protesting at embassies internationally, and international celebrity voices including Beyoncé, Twitter CEO Jack Dorsey, and musician Falz",no,FULL list retained - seven distinct constituencies including diaspora.
#EndSARS Nigeria police brutality,3,institutional_political_backing,not_relied_on,Strength of opposition,,no,None. Record: 'the Nigerian state itself was the opposition'. No institutional backer available.
#EndSARS Nigeria police brutality,4,financial_resources,relied_on,"List B — Coalition size, type, and presence of non-obvious allies","Source 13 (Rest of World) documents fintech companies donating and Feminist Coalition raising $386,000",no,List B quantifies the sum raised - absent from the oracle cell.
#EndSARS Nigeria police brutality,5,expert_technical_validation,not_relied_on,"Coalition size, type, and presence of non-obvious allies",,no,No expert or technical validating body named.
#EndSARS Nigeria police brutality,6,non_obvious_ally_note,context_only,"Coalition size, type, and presence of non-obvious allies",non-obvious allies: fintech companies and tech sector providing financial infrastructure and donations,yes,NOT SCORED. Retained for the deep dive so the ally detail is not lost.
Brazil MST — narrative reframe around organic food (2010s–present),1,regulatory_legal_position,relied_on,Legal/regulatory landscape,"the Brazilian Constitution's Article 186 (social function of land) provides formal legal basis for MST occupations; state-level legislation supporting agroecological education exists within the window (PEAPO Law No. 21,146, January 2014; PASSOMG Law No. 23,939, September 2021)",no,"DIRECTION: constitutional basis is genuinely enabling. Counterweight in same cell: PAA gutted and bancada ruralista blocking - mixed, so both directions recorded."
